iter	MultiClass
0	1.090113796
1	1.082866383
2	1.075010893
3	1.067380417
4	1.060997368
5	1.054563779
6	1.049780074
7	1.044185378
8	1.039111142
9	1.03533822
10	1.031335102
11	1.026714585
12	1.023104228
13	1.020126279
14	1.016725287
15	1.013582946
16	1.011025368
17	1.008431346
18	1.006177248
19	1.003626077
20	1.000115328
21	0.9976162651
22	0.9952256367
23	0.9928495382
24	0.9901058482
25	0.9872357272
26	0.9860088029
27	0.9841962668
28	0.9823427444
29	0.9800550266
30	0.9786917558
31	0.9768698403
32	0.974750483
33	0.9733980094
34	0.9721342498
35	0.9701513513
36	0.9684564437
37	0.9668874444
38	0.9660380961
39	0.9646519764
40	0.9629952584
41	0.9618671237
42	0.960588663
43	0.9591884279
44	0.9582596028
45	0.9572834198
46	0.955977689
47	0.9548426398
48	0.9535947498
49	0.9527673714
50	0.9517254668
51	0.9507289504
52	0.9499871796
53	0.949258696
54	0.9479775636
55	0.9468300887
56	0.945893846
57	0.9454755184
58	0.9446380657
59	0.9440119985
60	0.9433316259
61	0.9420830701
62	0.9412769968
63	0.9403384092
64	0.9393657874
65	0.9391477645
66	0.9381519537
67	0.9375897692
68	0.9364503234
69	0.9354951585
70	0.9347269586
71	0.9339554849
72	0.9332121602
73	0.9326427405
74	0.9321313162
75	0.9317574898
76	0.9312419513
77	0.9308018382
78	0.9299009368
79	0.9289730428
80	0.9283481801
81	0.9277346341
82	0.9271138709
83	0.9265692788
84	0.9260702931
85	0.9254641628
86	0.9244008946
87	0.9238504666
88	0.923534839
89	0.9226607962
90	0.9220729606
91	0.9214069259
92	0.9207265242
93	0.9200552702
94	0.9197785639
95	0.919236441
96	0.9185010277
97	0.9176796945
98	0.9174212941
99	0.9168765148
100	0.9163384642
101	0.9158341146
102	0.9154351721
103	0.9148946327
104	0.9138176462
105	0.9132236848
106	0.9124322855
107	0.9118509721
