iter	Passed	Remaining
0	327	97855
1	328	48995
2	330	32732
3	332	24579
4	334	19712
5	336	16481
6	338	14167
7	340	12417
8	342	11081
9	344	10000
10	346	9115
11	350	8401
12	352	7776
13	354	7243
14	356	6774
15	358	6358
16	359	5991
17	362	5677
18	364	5384
19	366	5129
20	368	4891
21	369	4673
22	371	4474
23	373	4293
24	374	4124
25	376	3969
26	378	3824
27	379	3690
28	381	3566
29	383	3449
30	384	3339
31	386	3237
32	388	3141
33	389	3049
34	391	2963
35	393	2883
36	394	2807
37	396	2734
38	398	2664
39	399	2599
40	401	2536
41	403	2477
42	404	2420
43	406	2366
44	408	2313
45	409	2262
46	411	2216
47	413	2171
48	415	2128
49	417	2086
50	419	2047
51	421	2009
52	423	1971
53	424	1935
54	426	1900
55	428	1866
56	430	1833
57	431	1801
58	433	1771
59	435	1742
60	437	1713
61	439	1685
62	440	1658
63	442	1631
64	444	1605
65	445	1580
66	447	1556
67	449	1532
68	450	1509
69	452	1486
70	454	1465
71	455	1443
72	457	1422
73	459	1401
74	460	1381
75	462	1362
76	463	1343
77	465	1325
78	467	1307
79	469	1290
80	471	1273
81	472	1256
82	474	1240
83	476	1224
84	477	1208
85	479	1193
86	481	1177
87	482	1163
88	484	1149
89	486	1135
90	488	1121
91	489	1107
92	491	1094
93	493	1081
94	495	1068
95	496	1055
96	498	1043
97	500	1031
98	502	1020
99	504	1008
100	505	996
101	507	984
102	508	973
103	510	962
104	512	951
105	514	941
106	516	930
107	517	920
108	519	910
109	521	900
110	522	890
111	524	880
112	526	870
113	527	860
114	529	851
115	530	841
116	532	832
117	534	823
118	535	814
119	537	805
120	538	796
121	540	788
122	541	779
123	543	771
124	545	763
125	546	755
126	548	747
127	550	739
128	551	731
129	553	723
130	554	715
131	556	708
132	558	700
133	559	692
134	560	685
135	562	678
136	563	670
137	565	663
138	567	656
139	568	649
140	570	642
141	571	636
142	573	629
143	575	623
144	576	616
145	578	610
146	580	603
147	581	597
148	583	591
149	585	585
150	586	579
151	588	572
152	590	566
153	592	561
154	593	555
155	595	549
156	597	543
157	598	538
158	600	532
159	602	526
160	603	521
161	606	516
162	607	510
163	609	505
164	610	499
165	612	494
166	614	489
167	616	484
168	617	478
169	619	473
170	621	468
171	623	463
172	624	458
173	626	453
174	628	448
175	630	444
176	631	439
177	633	434
178	635	429
179	637	424
180	639	420
181	640	415
182	642	410
183	644	406
184	645	401
185	647	396
186	649	392
187	652	388
188	655	384
189	657	380
190	660	376
191	665	374
192	669	371
193	671	366
194	673	362
195	675	358
196	678	354
197	680	350
198	682	346
199	683	341
200	685	337
201	687	333
202	689	329
203	691	325
204	693	321
205	695	317
206	698	313
207	700	309
208	701	305
209	703	301
210	705	297
211	707	293
212	708	289
213	710	285
214	711	281
215	713	277
216	715	273
217	716	269
218	718	265
219	720	261
220	721	258
221	723	254
222	725	250
223	728	247
224	730	243
225	732	239
226	734	236
227	737	232
228	739	229
229	741	225
230	743	222
231	745	218
232	747	214
233	749	211
234	751	207
235	753	204
236	756	200
237	758	197
238	760	194
239	762	190
240	764	187
241	766	183
242	768	180
243	771	177
244	773	173
245	775	170
246	778	167
247	781	163
248	783	160
249	786	157
250	788	153
251	792	150
252	795	147
253	797	144
254	799	141
255	801	137
256	803	134
257	805	131
258	807	127
259	809	124
260	810	121
261	812	117
262	814	114
263	816	111
264	817	108
265	819	104
266	821	101
267	823	98
268	825	95
269	826	91
270	828	88
271	830	85
272	831	82
273	833	79
274	835	75
275	837	72
276	839	69
277	840	66
278	842	63
279	844	60
280	846	57
281	847	54
282	849	51
283	851	47
284	852	44
285	854	41
286	857	38
287	858	35
288	860	32
289	862	29
290	864	26
291	865	23
292	867	20
293	869	17
294	871	14
295	872	11
296	874	8
297	876	5
298	878	2
299	879	0
